ticker,per,date,time,close,vol
Башнефт ао,D,2016-06-06,000000,2948.5,6933
Башнефт ао,D,2016-06-07,000000,2947,13394
Башнефт ао,D,2016-06-08,000000,2941.5,22579
Башнефт ао,D,2016-06-09,000000,2934.5,7135
Башнефт ао,D,2016-06-10,000000,2953.5,12818
Башнефт ао,D,2016-06-11,000000,2953.5,0
Башнефт ао,D,2016-06-12,000000,2953.5,0
Башнефт ао,D,2016-06-13,000000,2953.5,0
Башнефт ао,D,2016-06-14,000000,2950,17960
Башнефт ао,D,2016-06-15,000000,2957.5,28676
Башнефт ао,D,2016-06-16,000000,2952,24527
Башнефт ао,D,2016-06-17,000000,3025,13153
Башнефт ао,D,2016-06-18,000000,3025,0
Башнефт ао,D,2016-06-19,000000,3025,0
Башнефт ао,D,2016-06-20,000000,2990,34319
Башнефт ао,D,2016-06-21,000000,2969.5,9034
Башнефт ао,D,2016-06-22,000000,2987.5,18058
Башнефт ао,D,2016-06-23,000000,2986.5,6653
Башнефт ао,D,2016-06-24,000000,2900,75097
Башнефт ао,D,2016-06-25,000000,2900,0
Башнефт ао,D,2016-06-26,000000,2900,0
Башнефт ао,D,2016-06-27,000000,2940,60979
Башнефт ао,D,2016-06-28,000000,2935.5,16232
Башнефт ао,D,2016-06-29,000000,2942,3492
Башнефт ао,D,2016-06-30,000000,2929.5,10354
Башнефт ао,D,2016-07-01,000000,2900,9325
Башнефт ао,D,2016-07-02,000000,2900,0
Башнефт ао,D,2016-07-03,000000,2900,0
Башнефт ао,D,2016-07-04,000000,2909.5,12324
Башнефт ао,D,2016-07-05,000000,2912,8963
Башнефт ао,D,2016-07-06,000000,2847.5,43994
Башнефт ао,D,2016-07-07,000000,2817.5,35990
Башнефт ао,D,2016-07-08,000000,2764,48955
Башнефт ао,D,2016-07-09,000000,2764,0
Башнефт ао,D,2016-07-10,000000,2764,0
Башнефт ао,D,2016-07-11,000000,2841.5,64221
Башнефт ао,D,2016-07-12,000000,2840,42403
Башнефт ао,D,2016-07-13,000000,2824,76852
Башнефт ао,D,2016-07-14,000000,2686.5,49689
Башнефт ао,D,2016-07-15,000000,2705,18414
Башнефт ао,D,2016-07-16,000000,2705,0
Башнефт ао,D,2016-07-17,000000,2705,0
Башнефт ао,D,2016-07-18,000000,2688,27613
Башнефт ао,D,2016-07-19,000000,2655.5,43341
Башнефт ао,D,2016-07-20,000000,2715,131466
Башнефт ао,D,2016-07-21,000000,2731,32449
Башнефт ао,D,2016-07-22,000000,2790,66820
Башнефт ао,D,2016-07-23,000000,2790,0
Башнефт ао,D,2016-07-24,000000,2790,0
Башнефт ао,D,2016-07-25,000000,2794.5,42243
Башнефт ао,D,2016-07-26,000000,2781.5,23974
Башнефт ао,D,2016-07-27,000000,2824,60674
Башнефт ао,D,2016-07-28,000000,2822.5,21214
Башнефт ао,D,2016-07-29,000000,2895,247877
Башнефт ао,D,2016-07-30,000000,2895,0
Башнефт ао,D,2016-07-31,000000,2895,0
Башнефт ао,D,2016-08-01,000000,3066,129058
Башнефт ао,D,2016-08-02,000000,3055,116211
Башнефт ао,D,2016-08-03,000000,3000,171303
Башнефт ао,D,2016-08-04,000000,3055.5,248166
Башнефт ао,D,2016-08-05,000000,3070,84871
Башнефт ао,D,2016-08-06,000000,3070,0
Башнефт ао,D,2016-08-07,000000,3070,0
Башнефт ао,D,2016-08-08,000000,3077,37769
Башнефт ао,D,2016-08-09,000000,3090,74499
Башнефт ао,D,2016-08-10,000000,3149,52167
Башнефт ао,D,2016-08-11,000000,3152,59584
Башнефт ао,D,2016-08-12,000000,3155,20735
Башнефт ао,D,2016-08-13,000000,3155,0
Башнефт ао,D,2016-08-14,000000,3155,0
Башнефт ао,D,2016-08-15,000000,3162,22612
Башнефт ао,D,2016-08-16,000000,3132,16245
Башнефт ао,D,2016-08-17,000000,2876,772146
Башнефт ао,D,2016-08-18,000000,2915,185389
Башнефт ао,D,2016-08-19,000000,2920,69484
Башнефт ао,D,2016-08-20,000000,2920,0
